Name:,Lucie Farrell
Email:,lqf5273@psu.edu
Direct Fetched:,F
Hand Fetched:,T
Comment:,Collecting data from the Supplementary Datasheet of Wang, J., Kwon, H., Kim, H.S. et al.'s paper, A neural network model for high entropy alloy design (DOI: 10.1038/s41524-023-01010-x).

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
None,Cr33.3333 Co33.3333 Ni33.3333,None, AC+H+A, homogenized at 1373 K + annealed at 923 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.intermet.2019.106578
None,Cr33.3333 Co33.3333 Ni33.3333,None, AC+H+A, homogenized at 1373 K + annealed at 973 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.intermet.2019.106578
None,Cr33.3333 Co33.3333 Ni33.3333,None, AC+H+A, homogenized at 1373 K + annealed at 1073 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.intermet.2019.106578
None,Cr33.3333 Co33.3333 Ni33.3333,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.intermet.2019.106578
None,Cr33.3333 Co33.3333 Ni33.3333,None, AC+H+A, homogenized at 1373 K + annealed at 1373 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.intermet.2019.106578
None,Al11.111 Cr22.222 Fe22.222 Co22.222 Ni22.222,None, AC+A, annealed at 973 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2018.05.054
None,Al11.111 Cr22.222 Fe22.222 Co22.222 Ni22.222,None, AC+A, annealed at 1073 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2018.05.054
None,Al11.111 Cr22.222 Fe22.222 Co22.222 Ni22.222,None, AC+A, annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2018.05.054
None,Al11.111 Cr22.222 Fe22.222 Co22.222 Ni22.222,None, AC+A, annealed at 1273 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2018.05.054
None,Al11.111 Cr22.222 Fe22.222 Co22.222 Ni22.222,None, AC+A, annealed at 1373 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2018.05.054
None,Al11.111 Cr22.222 Fe22.222 Co22.222 Ni22.222,None, AC+A, annealed at 1473 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2018.05.054
None,Cr20 Fe6 Co34 Ni34 Mo6,None, AC+H, homogenized at 1473 K,YS,None,None,None,None,None,Pa,None,10.1016/j.ijplas.2018.10.005
None,Cr20 Fe6 Co34 Ni34 Mo6,None, AC+H+A, homogenized at 1473 K + annealed at 948 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.ijplas.2018.10.005
None,Cr20 Fe6 Co34 Ni34 Mo6,None, AC+H+A, homogenized at 1473 K + annealed at 948 K for 5 h,YS,None,None,None,None,None,Pa,None,10.1016/j.ijplas.2018.10.005
None,Cr20 Fe6 Co34 Ni34 Mo6,None, AC+H+A, homogenized at 1473 K + annealed at 948 K for 10 h,YS,None,None,None,None,None,Pa,None,10.1016/j.ijplas.2018.10.005
None,Cr20 Fe6 Co34 Ni34 Mo6,None, AC+H+A, homogenized at 1473 K + annealed at 973 K for 30 min,YS,None,None,None,None,None,Pa,None,10.1016/j.ijplas.2018.10.005
None,Cr20 Fe6 Co34 Ni34 Mo6,None, AC+H+A, homogenized at 1473 K + annealed at 973 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.ijplas.2018.10.005
None,Cr20 Fe6 Co34 Ni34 Mo6,None, AC+H+A, homogenized at 1473 K + annealed at 1073 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.ijplas.2018.10.005
None,Cr20 Fe6 Co34 Ni34 Mo6,None, AC+H+A, homogenized at 1473 K + annealed at 1073 K for 3 min,YS,None,None,None,None,None,Pa,None,10.1016/j.ijplas.2018.10.005
None,Cr20 Fe6 Co34 Ni34 Mo6,None, AC+H+A, homogenized at 1473 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.ijplas.2018.10.005
None,Cr20 Fe6 Co34 Ni34 Mo6,None, AC+H+A, homogenized at 1473 K + annealed at 1273 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.ijplas.2018.10.005
None,Cr20 Fe6 Co34 Ni34 Mo6,None, AC+H+A, homogenized at 1473 K + annealed at 1423 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.ijplas.2018.10.005
None,Cr20 Mn20 Fe20 Co20 Ni20,None, AC+H+A, homogenized at 1373 K + annealed at 1073 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.01.050
None,C0.5 Cr19.9 Mn19.9 Fe19.9 Co19.9 Ni19.9,None, AC+H+A, homogenized at 1373 K + annealed at 1073 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.01.050
None,C1 Cr19.8 Mn19.8 Fe19.8 Co19.8 Ni19.8,None, AC+H+A, homogenized at 1373 K + annealed at 1073 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.01.050
None,Cr10 Mn40 Fe40 Co10,None, AC+H+A, homogenized at 1473 K + annealed at 1173 K for 3 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.05.057
None,Al7 Cr23.25 Fe23.25 Co23.25 Ni23.25,None, AC+H, homogenized at 1423 K,YS,None,None,None,None,None,Pa,None,10.1016/j.actamat.2020.10.071
None,Al7 Cr23.25 Fe23.25 Co23.25 Ni23.25,None, AC+H+A, homogenized at 1423 K + annealed at 973 K for 4 h,YS,None,None,None,None,None,Pa,None,10.1016/j.actamat.2020.10.071
None,Al7 Cr23.25 Fe23.25 Co23.25 Ni23.25,None, AC+H+A, homogenized at 1423 K + annealed at 973 K for 24 h,YS,None,None,None,None,None,Pa,None,10.1016/j.actamat.2020.10.071
None,Al7 Cr23.25 Fe23.25 Co23.25 Ni23.25,None, AC+H+A, homogenized at 1423 K + annealed at 973 K for 48 h,YS,None,None,None,None,None,Pa,None,10.1016/j.actamat.2020.10.071
None,C1.3 Al9.9 Mn29.8 Fe59,None, AC+H+A, homogenized at 1473 K + annealed at 1123 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/0921-5093(91)90709-V
None,Cr23 Mn31 Co23 Ni23,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 30 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139974
None,Cr25 Fe25 Co25 Ni25,None, AC+H+A, homogenized at 1473 K + annealed at 1073 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139224
None,Cr33.3333 Co33.3333 Ni33.3333,None, AC+H+A, homogenized at 1473 K + annealed at 1073 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139224
None,V33.3333 Co33.3333 Ni33.3333,None, AC+H+A, homogenized at 1473 K + annealed at 1373 K for 30 min,YS,None,None,None,None,None,Pa,None,10.1016/j.intermet.2021.107126
None,V7.99 Cr14.5 Mn3.25 Fe14.92 Co35.42 Ni21.43 Cu2.49,None, AC+H+A, homogenized at 1373 K + annealed at 953 K for 14 min,YS,None,None,None,None,None,Pa,None,None
None,V7.99 Cr14.5 Mn3.25 Fe14.92 Co35.42 Ni21.43 Cu2.49,None, AC+H+A, homogenized at 1373 K + annealed at 1073 K for 5 min,YS,None,None,None,None,None,Pa,None,None
None,V7.99 Cr14.5 Mn3.25 Fe14.92 Co35.42 Ni21.43 Cu2.49,None, AC+H+A, homogenized at 1373 K + annealed at 1073 K for 10 min,YS,None,None,None,None,None,Pa,None,None
None,V7.99 Cr14.5 Mn3.25 Fe14.92 Co35.42 Ni21.43 Cu2.49,None, AC+H+A, homogenized at 1373 K + annealed at 1123 K for 10 min,YS,None,None,None,None,None,Pa,None,None
None,Cr20 Fe20 Co20 Ni20 Cu20,None, AC+H, homogenized at 1273 K,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139241
None,Cr17.51 Fe17.51 Co17.51 Ni17.51 Cu29.96,None, AC+H, homogenized at 1273 K,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139241
None,Cr20 Fe20 Co20 Ni20 Cu20,None, AC+H+A, homogenized at 1273 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139241
None,Cr17.51 Fe17.51 Co17.51 Ni17.51 Cu29.96,None, AC+H+A, homogenized at 1273 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139241
None,C1.36 Cr20.14 Mn19.27 Fe19.42 Co20.06 Ni19.75,None, AC+H, homogenized at 1493 K,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2019.06.204
None,C1.36 Cr20.14 Mn19.27 Fe19.42 Co20.06 Ni19.75,None, AC+H+A, homogenized at 1493 K + annealed at 973 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2019.06.204
None,C1.36 Cr20.14 Mn19.27 Fe19.42 Co20.06 Ni19.75,None, AC+H+A, homogenized at 1493 K + annealed at 1073 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2019.06.204
None,C1.36 Cr20.14 Mn19.27 Fe19.42 Co20.06 Ni19.75,None, AC+H+A, homogenized at 1493 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2019.06.204
None,C1.36 Cr20.14 Mn19.27 Fe19.42 Co20.06 Ni19.75,None, AC+H+A, homogenized at 1493 K + annealed at 1273 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.jallcom.2019.06.204
None,Al5.27 Cr17.95 Mn20.12 Fe19.47 Co18.82 Ni18.37,None, AC+H, homogenized at 1423 K,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139446
None,Al5.27 Cr17.95 Mn20.12 Fe19.47 Co18.82 Ni18.37,None, AC+H+A, homogenized at 1423 K + annealed at 773 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139446
None,Al5.27 Cr17.95 Mn20.12 Fe19.47 Co18.82 Ni18.37,None, AC+H+A, homogenized at 1423 K + annealed at 973 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139446
None,Al5.27 Cr17.95 Mn20.12 Fe19.47 Co18.82 Ni18.37,None, AC+H+A, homogenized at 1423 K + annealed at 1073 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139446
None,Al5.27 Cr17.95 Mn20.12 Fe19.47 Co18.82 Ni18.37,None, AC+H+A, homogenized at 1423 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139446
None,Al5.27 Cr17.95 Mn20.12 Fe19.47 Co18.82 Ni18.37,None, AC+H+A, homogenized at 1423 K + annealed at 1273 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139446
None,Al5.27 Cr17.95 Mn20.12 Fe19.47 Co18.82 Ni18.37,None, AC+H+A, homogenized at 1423 K + annealed at 1373 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2020.139446
None,Cr4 Mn28 Fe40 Ni28,None, AC+H+A, homogenized at 1273 K + annealed at 1123 K for 30 min,YS,None,None,None,None,None,Pa,None,10.1016/j.matdes.2015.08.007
None,Cr12 Mn28 Fe40 Ni20,None, AC+H+A, homogenized at 1273 K + annealed at 1123 K for 30 min,YS,None,None,None,None,None,Pa,None,10.1016/j.matdes.2015.08.007
None,Cr18 Mn28 Fe40 Ni14,None, AC+H+A, homogenized at 1273 K + annealed at 1123 K for 30 min,YS,None,None,None,None,None,Pa,None,10.1016/j.matdes.2015.08.007
None,Al6.96 Cr23.26 Fe23.26 Co23.26 Ni23.26,None, AC, ,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.03.088
None,Al6.96 Cr23.26 Fe23.26 Co23.26 Ni23.26,None, AC+H, homogenized at 1373 K,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.03.088
None,Al6.96 Cr23.26 Fe23.26 Co23.26 Ni23.26,None, AC+H, homogenized at 1373 K,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.03.088
None,Al6.96 Cr23.26 Fe23.26 Co23.26 Ni23.26,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 2 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.03.088
None,Al6.96 Cr23.26 Fe23.26 Co23.26 Ni23.26,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.03.088
None,Al6.96 Cr23.26 Fe23.26 Co23.26 Ni23.26,None, AC+H+A, homogenized at 1373 K + annealed at 1173 K for 24 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.03.088
None,Al6.96 Cr23.26 Fe23.26 Co23.26 Ni23.26,None, AC+H+A, homogenized at 1373 K + annealed at 1323 K for 2 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.03.088
None,Al6.96 Cr23.26 Fe23.26 Co23.26 Ni23.26,None, AC+H+A, homogenized at 1373 K + annealed at 1323 K for 20 min,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.03.088
None,Al6.96 Cr23.26 Fe23.26 Co23.26 Ni23.26,None, AC+H+A, homogenized at 1373 K + annealed at 1323 K for 1 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.03.088
None,Al6.96 Cr23.26 Fe23.26 Co23.26 Ni23.26,None, AC+H+A, homogenized at 1373 K + annealed at 1323 K for 24 h,YS,None,None,None,None,None,Pa,None,10.1016/j.msea.2019.03.088
None,Al10.12 Cr22.47 Fe22.47 Co22.47 Ni22.47,None, AC+H, homogenized at 1523 K,YS,None,None,None,None,None,Pa,None,10.1016/j.matdes.2019.107910
